Program date,panelist_name1,panelist_name2,panelist_name3,panelist_name4,panelist_name5,panelist_name6,panelist_name7,panelist_name8,palestinian_count,mena_count,w_count,bipoc_count,dod_dhs_count,intl_rts_aid_org_count,gop_count,dem_count,nys_dem_count,TOTAL PANELISTS,PROP WHITE
4/12/2024,Judith Enck,March Gallagher,Jim Hendler,,,,,,0,0,3,0,1,0,0,3,3,3,1
4/15/2024,Jim Ketterer,Heather Mulligan,Libby Post,Mark Wittman,,,,,0,0,4,0,1,0,0,3,3,4,1
4/16/2024,Frederic Hof,Jim Ketterer,Jay Jochnowitz,Judy Patrick,,,,,0,0,4,0,2,0,0,1,1,4,1
4/17/2024,Vera Eccarius-Kelly,Kathy Sheehan,Robert Griffin,Mike Spain,,,,,0,0,4,0,1,0,0,1,1,4,1
4/18/2024,Theresa Bourgeois,Judy Patrick,Mark Wittman,,,,,,0,0,3,0,0,0,0,1,1,3,1
4/19/2024,Judith Enck,Vera Eccarius-Kelly,Cianna Freeman-Tolbert,Judy Patrick,Libby Post,Nic Rangel,Sarah Rogerson,,0,0,5,2,0,0,0,3,3,7,0.714285714
4/22/2024,John Faso,Libby Post,Mark Wittman,,,,,,0,0,3,0,0,0,1,1,1,3,1
4/23/2024,March Gallagher,Jay Jochnowitz,J.P. Miller,,,,,,0,0,3,0,0,0,1,1,1,3,1
4/24/2024,Theresa Bourgeois,Vera Eccarius-Kelly,Robert Griffin,,,,,,0,0,3,0,1,0,0,1,1,3,1
4/25/2024,Malia Du Mont,Ira Fusfeld,Terry Gipson,,,,,,0,0,3,0,1,0,0,2,2,3,1
4/26/2024,Frederic Hof,Jim Ketterer,Natasha Pernicka,,,,,,0,0,3,0,2,0,0,1,1,3,1
4/29/2024,Rich Honen,Libby Post,Sarah Rogerson,,,,,,0,0,3,0,0,0,0,1,1,3,1
4/30/2024,Fran Berman,Malia Du Mont,Cianna Freeman-Tolbert,,,,,,0,0,2,1,1,0,0,1,1,3,0.666666667
5/1/2024,Vera Eccarius-Kelly,Nic Rangel,Kristen van Ginhoven,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
5/2/2024,Judy Patrick,Kathy Sheehan,Mark Wittman,,,,,,0,0,3,0,0,0,0,1,1,3,1
5/3/2024,Theresa Bourgeois,Frederic Hof,Aaron Pacitti,,,,,,0,0,3,0,1,0,0,1,1,3,1
5/6/2024,Jim Ketterer,Judy Patrick,Libby Post,,,,,,0,0,3,0,1,0,0,2,2,3,1
5/7/2024,Malia Du Mont,Rich Honen,Mike Spain,,,,,,0,0,3,0,1,0,0,1,1,3,1
5/8/2024,Fran Berman,Vera Eccarius-Kelly,Mark Wittman,,,,,,0,0,3,0,0,0,0,0,0,3,1
5/9/2024,Ira Fusfeld,Anna Markowitz,Judy Patrick,,,,,,0,0,3,0,0,0,0,1,1,3,1
5/10/2024,Theresa Bourgeois,Jim Hendler,Jay Jochnowitz,,,,,,0,0,3,0,1,0,0,2,2,3,1
5/13/2024,Malia Du Mont,Jim Ketterer,Mark Wittman,Kelany De La Cruz,,,,,0,0,3,1,2,0,0,2,2,4,0.75
